id,text,pos
5216,galvanovna,N
5217,gama,A
5218,gamba,N
5219,gambit,N
5220,gambler,N
5221,gamblerství,N
5222,game,N
5223,gang,N
5224,garance,N
5225,garant,N
5226,garantka,N
5227,garanční,A
5228,garda,N
5229,gardista,N
5230,gardový,A
5231,garnitura,N
5232,garnát,N
5233,garsoniéra,N
5234,garsonka,N
5235,garáž,N
5236,garážový,A
5237,gastronomie,N
5238,gauč,N
5239,gazela,N
5240,gazeta,N
5241,gejzír,N
5242,gejša,N
5243,genealog,N
5244,genealogický,A
5245,genealogie,N
5246,generace,N
5247,generalita,N
5248,generalizace,N
5249,generalizovaný,A
5250,generační,A
5251,generačně,D
5252,generický,A
5253,generikum,N
5254,generovaný,A
5255,generování,N
5256,generovat,V
5257,generál,N
5258,generálka,N
5259,generátor,N
5260,geneticky,D
5261,genetický,A
5262,genetik,N
5263,genetika,N
5264,genialita,N
5265,genitálie,N
5266,genius,N
5267,geniální,A
5268,geniálně,D
5269,genocida,N
5270,genocidní,A
5271,genofond,N
5272,genom,N
5273,genotyp,N
5274,geocaching,N
5275,geodet,N
5276,geograf,N
5277,geograficky,D
5278,geografický,A
5279,geografie,N
5280,geolog,N
5281,geologie,N
5282,geologicky,D
5283,geometricky,D
5284,geometrický,A
5285,geometrie,N
5286,geopolitický,A
5287,geotermální,A
5288,gepard,N
5289,gerbera,N
5290,geriatrický,A
5291,gerila,N
5292,gestikulace,N
5293,gestikulovat,N
5294,gesto,N
5295,gestor,N
5296,gibon,N
5297,giga,N
5298,gigabit,N
5299,gigabyte,N
5300,gigajoul,N
5301,gigant,N
5302,gilotina,N
5303,girlanda,N
5304,gladiátor,N
5305,glaukom,N
5306,glazovaný,A
5307,glazovat,V
5308,glazura,N
5309,glejt,N
5310,globálně,D
5311,glosa,N
5312,glosátor,N
5313,glosář,N
5314,glukometr,N
5315,glukóza,N
5316,glukózový,A
5317,glutamát,N
5318,glycerin,N
5319,glyfosát,N
5320,glykémie,N
5321,glóbus,N
5322,gobelín,N
5323,gobelínový,A
5324,gogo,A
5325,golem,N
5326,golet,N
5327,golf,N
5328,golfista,N
5329,golfistka,N
5330,gondola,N
5331,gong,N
5332,gorgonzola,N
5333,gotický,A
5334,gotika,N
5335,gouda,N
5336,gourmet,N
5337,gradace,N
5338,gradovat,V
5339,graf,N
5340,graffiti,N
5341,graficky,D
5342,grafický,A
5343,grafika,N
5344,grafikon,N
5345,grafička,N
5346,grafolog,N
5347,grafologie,N
5348,gram,N
5349,gramatický,A
5350,gramatika,N
5351,gramodeska,N
5352,gramofon,N
5353,gramofonový,A
5354,gramotnost,N
5355,grande,A
5356,grandiózní,A
5357,granit,N
5358,grant,N
5359,grantový,A
5360,granule,N
5361,granulovaný,A
5362,granát,N
5363,granátník,N
5364,granátový,A
5365,grapefruit,N
5366,gratis,D
5367,gratulace,N
5368,gratulant,N
5369,gratulovat,V
5370,gravidita,N
5371,gravitační,A
5372,gravitace,N
5373,grep,N
5374,grešle,N
5375,grif,N
5376,gril,N
5377,grilovací,A
5378,grilovaný,A
5379,grilovat,V
5380,grilování,N
5381,grimasa,N
5382,grog,N
5383,groteska,N
5384,groš,N
5385,grunt,N
5386,gruntování,N
5387,grupa,N
5388,grácie,N
5389,grády,N
5390,grál,N
5391,grázl,N
5392,guláš,N
5393,guma,N
5394,gumička,N
5395,gumák,N
5396,gumárna,N
5397,gurmet,N
5398,gurmán,N
5399,guru,N
5400,gusto,N
5401,guvernér,N
5402,guvernérka,N
5403,gymnasta,N
5404,gymnastka,N
5405,gymnazijní,A
5406,gymnazista,N
5407,gymnazistka,N
5408,gymnázium,N
5409,gynekolog,N
5410,gynekologie,N
5411,gynekoložka,N
5412,gyroskop,N
5413,génius,N
5414,gólman,N
5415,gólmanka,N
5416,hacienda,N
5417,hacker,N
5418,hadice,N
5419,hadička,N
5420,hadovka,N
5421,hadr,N
5422,hadrový,A
5423,hadry,N
5424,hadí,A
5425,hadřík,N
5426,hafan,N
5427,haiku,N
5428,hajný,N
5429,hala,N
5430,halapartna,N
5431,halas,N
5432,halasný,A
5433,halasně,D
5434,halda,N
5435,halekat,V
5436,halena,N
5437,halenka,N
5438,halogen,N
5439,halucinace,N
5440,halucinogen,N
5441,halucinogenní,A
5442,halucinovat,V
5443,haluz,N
5444,halušky,N
5445,haléř,N
5446,hamburger,N
5447,hamižnost,N
5448,hamižný,A
5449,hamr,N
5450,hanba,N
5451,handbike,N
5452,handicap,N
5453,handicapovaný,A
5454,handrkování,N
5455,handrkovat,V
5456,hanebnost,N
5457,hanebný,A
5458,hanebně,D
5459,hanit,V
5460,hanlivý,A
5461,hanobení,N
5462,hanobit,V
5463,hantec,N
5464,hantýrka,N
5465,haraburdí,N
5466,harampádí,N
5467,harašení,N
5468,hardware,N
5469,harfa,N
5470,harmonicky,D
5471,harmonický,A
5472,harmonie,N
5473,harmonika,N
5474,harmonium,N
5475,harmonizační,A
5476,harmonogram,N
5477,harpuna,N
5478,hasit,V
5479,hasič,N
5480,hasička,N
5481,hasičárna,N
5482,hastrman,N
5483,hatit,V
5484,havran,N
5485,havárie,N
5486,havárka,N
5487,havíř,N
5488,hazard,N
5489,hazardní,A
5490,hazardovat,V
5491,hazardér,N
5492,hašení,N
5493,hašlerka,N
5494,hbitost,N
5495,hbitý,A
5496,hbitě,D
5497,hebkost,N
5498,hebký,A
5499,hecovat,V
5500,hecíř,N
5501,hedvábí,N
5502,hejno,N
5503,hejtman,N
5504,hejtmanka,N
5505,hekat,V
5506,hektar,N
5507,hektarový,A
5508,hektický,A
5509,hektolitr,N
5510,heligonka,N
5511,heligonkář,N
5512,helikoptéra,N
5513,heliport,N
5514,helium,N
5515,helma,N
5516,helmice,N
5517,hematom,N
5518,hemoglobin,N
5519,hemoroidy,N
5520,hemžení,N
5521,hemžit,V
5522,hena,N
5523,hendikepovaný,A
5524,hendikepovat,V
5525,hendikepový,A
5526,hendikep,N
5527,heparin,N
5528,heparinový,A
5529,hepatitida,N
5530,heraldik,N
5531,heraldika,N
5532,herbicid,N
5533,herbicidní,A
5534,herbář,N
5535,herec,N
5536,herecký,A
5537,herectví,N
5538,herečka,N
5539,hermelín,N
5540,herna,N
5541,herní,A
5542,heroický,A
5543,heroin,N
5544,herpes,N
5545,heslo,N
5546,heterogenní,A
5547,heterosexuál,N
5548,heterosexuální,A
5549,hever,N
5550,hezký,A
5551,heřmánek,N
5552,hibernace,N
5553,hibernovat,V
5554,hierarchický,A
5555,hierarchie,N
5556,hieroglyf,N
5557,hinduismus,N
5558,hinduista,N
5559,histologie,N
5560,historicky,D
5561,historie,N
5562,historik,N
5563,historismus,N
5564,historizující,A
5565,historička,N
5566,historka,N
5567,hitparáda,N
5568,hlad,N
5569,hladit,V
5570,hladkost,N
5571,hladký,A
5572,hladomor,N
5573,hladomorna,N
5574,hladovka,N
5575,hladovkář,N
5576,hladový,A
5577,hladovějící,A
5578,hladovět,V
5579,hlady,D
5580,hlahol,N
5581,hlaholit,V
5582,hlas,N
5583,hlasatel,N
5584,hlasatelka,N
5585,hlasitost,N
5586,hlasitý,A
5587,hlasitě,D
5588,hlasivka,N
5589,hlasovací,A
5590,hlasovat,V
5591,hlasování,N
5592,hlasový,A
5593,hlasově,D
5594,hlasující,A
5595,hlava,N
5596,hlaveň,N
5597,hlavička,N
5598,hlavičkovat,V
5599,hlavní,A
5600,hlavně,D
5601,hlavolam,N
5602,hlavonožec,N
5603,hlavoun,N
5604,hlavový,A
5605,hlazení,N
5606,hledající,A
5607,hledač,N
5608,hledat,V
5609,hledisko,N
5610,hlediště,N
5611,hledáček,N
5612,hledící,A
5613,hledět,V
5614,hlemýžď,N
5615,hlen,N
5616,hlinitý,A
5617,hlinka,N
5618,hliník,N
5619,hliníkový,A
5620,hliněný,A
5621,hlodat,V
5622,hloh,N
5623,hloub,N
5624,hloubení,N
5625,hloubit,V
5626,hloubkový,A
5627,hloupost,N
5628,hlouček,N
5629,hltan,N
5630,hlubina,N
5631,hluboce,D
5632,hluboko,D
5633,hlubokomyslný,A
5634,hluboký,A
5635,hluchoněmý,A
5636,hluchoslepý,A
5637,hluk,N
5638,hlukový,A
5639,hlupák,N
5640,hlučnost,N
5641,hlučný,A
5642,hlučně,D
5643,hlušina,N
5644,hlásající,A
5645,hlásit,V
5646,hlásič,N
5647,hlásný,A
5648,hlásání,N
5649,hlásící,A
5650,hlávka,N
5651,hlášenka,N
5652,hlášení,N
5653,hlášený,A
5654,hláška,N
5655,hlídající,A
5656,hlídaný,A
5657,hlídat,V
5658,hlídač,N
5659,hlídka,N
5660,hlídkovat,V
5661,hlídkování,N
5662,hlídkový,A
5663,hlídkující,A
5664,hlína,N
5665,hlíva,N
5666,hlíza,N
5667,hlíznatý,A
5668,hmat,N
5669,hmatatelný,A
5670,hmatatelně,D
5671,hmatný,A
5672,hmatový,A
5673,hmota,N
5674,hmotnost,N
5675,hmotnostní,A
5676,hmotný,A
5677,hmotně,D
5678,hmoždinka,N
5679,hmoždíř,N
5680,hmyz,N
5681,hmyzí,A
5682,hnací,A
5683,hnaný,A
5684,hnida,N
5685,hnijící,A
5686,hniloba,N
5687,hnilobný,A
5688,hnis,N
5689,hnisavý,A
5690,hnisat,V
5691,hnojení,N
5692,hnojený,A
5693,hnojit,V
5694,hnojivo,N
5695,hnout,V
5696,hnus,N
5697,hnusit,V
5698,hnutí,N
5699,hnát,V
5700,hnít,V
5701,hníst,V
5702,hnízdit,V
5703,hnízdiště,N
5704,hnízdní,A
5705,hnízdo,N
5706,hnědák,N
5707,hnětení,N
5708,hněv,N
5709,hněvat,V
5710,hnůj,N
5711,hoblík,N
5712,hoboj,N
5713,hobojista,N
5714,hoch,N
5715,hodina,N
5716,hodinka,N
5717,hodinky,N
5718,hodinovka,N
5719,hodiny,N
5720,hodinář,N
5721,hodinářský,A
5722,hodinářství,N
5723,hodit,V
5724,hodlat,V
5725,hodnocení,N
5726,hodnost,N
5727,hodnostář,N
5728,hodnota,N
5729,hodnotit,V
5730,hodnotitel,N
5731,hodnotitelský,A
5732,hodnotící,A
5733,hodnověrnost,N
5734,hodnověrný,A
5735,hodný,A
5736,hodně,D
5737,hodněkrát,C
5738,hodokvas,N
5739,hodovat,V
5740,hodovní,A
5741,hodování,N
5742,hody,N
5743,hojení,N
5744,hojit,V
5745,hojnost,N
5746,hojný,A
5747,hojně,D
5748,hojící,A
5749,hokej,N
5750,hokejbal,N
5751,hokejbalista,N
5752,hokejista,N
5753,hokejistka,N
5754,hokejka,N
5755,hokejový,A
5756,hokynář,N
5757,holba,N
5758,holenní,A
5759,holení,N
5760,holeň,N
5761,holicí,A
5762,holina,N
5763,holinka,N
5764,holistický,A
5765,holit,V
5766,holič,N
5767,holička,N
5768,holičství,N
5769,holka,N
5770,holobyt,N
5771,holografický,A
5772,holohlavý,A
5773,holoubek,N
5774,holt,D
5775,holub,N
5776,holubice,N
5777,holubinka,N
5778,holubí,A
5779,holínka,N
5780,holčina,N
5781,holčička,N
5782,holčičí,A
5783,homeopatie,N
5784,homogenita,N
5785,homogenní,A
5786,homole,N
5787,homosexualita,N
5788,homosexuál,N
5789,honební,A
5790,honem,D
5791,honitba,N
5792,honička,N
5793,honorace,N
5794,honorovaný,A
5795,honorární,A
5796,honorář,N
5797,honosit,V
5798,honosně,D
5799,honosný,A
5800,honák,N
5801,honění,N
5802,hora,N
5803,horda,N
5804,horentní,A
5805,horečka,N
5806,horečnatě,D
5807,horečnatý,A
5808,horečný,A
5809,horizont,N
5810,horizontální,A
5811,horizontálně,D
5812,horko,N
5813,horkokrevný,A
5814,horkovzdušný,A
5815,horký,A
5816,horlit,V
5817,horlivost,N
5818,horlivý,A
5819,hormon,N
5820,hormonální,A
5821,hormonálně,D
5822,hornatý,A
5823,hornictví,N
5824,hornina,N
5825,horninový,A
5826,horník,N
5827,horolezec,N
5828,horolezecký,A
5829,horolezectví,N
5830,horolezkyně,N
5831,horor,N
5832,hororový,A
5833,horoskop,N
5834,horoucí,A
5835,horovat,V
5836,horský,A
5837,hortenzie,N
5838,hory,N
5839,horácký,A
5840,horák,N
5841,horšit,V
5842,hospic,N
5843,hospitalizace,N
5844,hospitalizovat,V
5845,hospoda,N
5846,hospodaření,N
5847,hospodařit,V
5848,hospodařící,A
5849,hospodský,A
5850,hospodyně,N
5851,hospodyňka,N
5852,hospodárnost,N
5853,hospodárný,A
5854,hospodárně,D
5855,hospodář,N
5856,hospodářka,N
5857,hospodářsky,D
5858,hospodářství,N
5859,hospůdka,N
5860,host,N
5861,hostel,N
5862,hosteska,N
5863,hostie,N
5864,hostina,N
5865,hostinec,N
5866,hostinská,N
5867,hostinský,N
5868,hostitel,N
5869,hostitelka,N
5870,hostitelský,A
5871,hostovat,V
5872,hostování,N
5873,hostující,A
5874,hotel,N
5875,hotelnictví,N
5876,hotelovka,N
5877,hotovka,N
5878,hotovost,N
5879,hotovostní,A
5880,hotový,A
5881,hotově,D
5882,hotýlek,N
5883,houba,N
5884,houbař,N
5885,houbaření,N
5886,houbařit,V
5887,houbařský,A
5888,houbička,N
5889,houbovitý,A
5890,houbový,A
5891,houf,N
5892,houfnice,N
5893,houfně,D
5894,houfovat,V
5895,houkat,V
5896,houkačka,N
5897,houknout,V
5898,houpadlo,N
5899,houpající,A
5900,houpat,V
5901,houpavý,A
5902,houpačka,N
5903,houpání,N
5904,house,N
5905,housenka,N
5906,houser,N
5907,houska,N
5908,houslařský,A
5909,housle,N
5910,houslista,N
5911,houslistka,N
5912,housličky,N
5913,houstnoucí,A
5914,houstnout,V
5915,houština,N
5916,houští,N
5917,houževnatost,N
5918,houževnatý,A
5919,houževnatě,D
5920,hovor,N
5921,hovorné,N
5922,hovorový,A
5923,hovořit,V
5924,hovořící,A
5925,hovězí,A
5926,hození,N
5927,hozený,A
5928,hořce,D
5929,hoře,N
5930,hořec,N
5931,hořejší,A
5932,hořekovat,V
5933,hoření,N
5934,hořet,V
5935,hořkost,N
5936,hořký,A
5937,hořlavina,N
5938,hořlavý,A
5939,hořák,N
5940,hořčice,N
5941,hořčík,N
5942,hošek,N
5943,hošík,N
5944,hrabanka,N
5945,hrabat,V
5946,hraboš,N
5947,hrabství,N
5948,hrabě,N
5949,hraběcí,A
5950,hraběnka,N
5951,hrachovec,N
5952,hrachový,A
5953,hrací,A
5954,hrad,N
5955,hradba,N
5956,hradební,A
5957,hradisko,N
5958,hradit,V
5959,hradiště,N
5960,hradlo,N
5961,hradní,A
5962,hrající,A
5963,hrana,N
5964,hranatý,A
5965,hranečník,N
5966,hraničit,V
5967,hraniční,A
5968,hraničář,N
5969,hranol,N
5970,hranolek,N
5971,hranolový,A
5972,hratelnost,N
5973,hratelný,A
5974,hravost,N
5975,hravý,A
5976,hravě,D
5977,hrazda,N
5978,hrazený,A
5979,hračička,N
5980,hračka,N
5981,hračkářský,A
5982,hračkářství,N
5983,hrbatý,A
5984,hrbit,V
5985,hrbol,N
5986,hrbolek,N
5987,hrdelní,A
5988,hrdina,N
5989,hrdinka,N
5990,hrdinsky,D
5991,hrdinský,A
5992,hrdinství,N
5993,hrdlička,N
5994,hrdlo,N
5995,hrdost,N
5996,hrdý,A
5997,hrknout,V
5998,hrnec,N
5999,hrnek,N
6000,hrneček,N
6001,hrnkový,A
6002,hrníček,N
6003,hrnčíř,N
6004,hrnčířský,A
6005,hrnčířství,N
6006,hrob,N
6007,hrobař,N
6008,hrobka,N
6009,hrobník,N
6010,hrobový,A
6011,hroch,N
6012,hromada,N
6013,hromada,N
6014,hromadný,A
6015,hromadně,D
6016,hromadící,A
6017,hromadění,N
6018,hromnice,N
6019,hromobití,N
6020,hromosvod,N
6021,hromotluk,N
6022,hromádka,N
6023,hrotit,V
6024,hroutit,V
6025,hroutící,A
6026,hrouzek,N
6027,hrozba,N
6028,hrozen,N
6029,hrozinka,N
6030,hrozit,V
6031,hrozivý,A
6032,hrozivě,D
6033,hrozno,N
6034,hroznový,A
6035,hroznýš,N
6036,hrozně,D
6037,hrozící,A
6038,hroší,A
6039,hrošík,N
6040,hrst,N
6041,hrstka,N
6042,hrtan,N
6043,hrubec,N
6044,hrubice,N
6045,hrubián,N
6046,hrubka,N
6047,hrubost,N
6048,hrubozrnný,A
6049,hrubě,D
6050,hrubý,A
6051,hrudka,N
6052,hruď,N
6053,hrušeň,N
6054,hruška,N
6055,hruškovice,N
6056,hruškový,A
6057,hryzat,V
6058,hrábě,N
6059,hrách,N
6060,hrádek,N
6061,hrát,V
6062,hrátky,N
6063,hráz,N
6064,hrázděný,A
6065,hrázka,N
6066,hrázný,N
6067,hráč,N
6068,hráčsky,D
6069,hráčský,A
6070,hráčství,N
6071,hrášek,N
6072,hráškový,A
6073,hrůza,N
6074,hrůzný,A
6075,hrůzně,D
6076,hrůzostrašný,A
6077,hrůzovláda,N
6078,hubatý,A
6079,hubení,N
6080,hubice,N
6081,hubička,N
6082,hubit,V
6083,hubovat,V
6084,hucul,N
6085,hudba,N
6086,hudebnice,N
6087,hudebnost,N
6088,hudební,A
6089,hudebník,N
6090,hudec,N
6091,hukot,N
6092,humanismus,N
6093,humanista,N
6094,humanitární,A
6095,humanizace,N
6096,humanoidní,A
6097,humno,N
6098,humor,N
6099,humoreska,N
6100,humoristický,A
6101,humorný,A
6102,humr,N
6103,humus,N
6104,humánní,A
6105,humózní,A
6106,hunt,N
6107,hurikán,N
6108,husa,N
6109,husar,N
6110,husita,N
6111,husitský,A
6112,husička,N
6113,husky,N
6114,hustit,V
6115,hustota,N
6116,hustý,A
6117,husí,A
6118,hutnický,A
6119,hutnictví,N
6120,hutní,A
6121,hutník,N
6122,hučení,N
6123,hučet,V
6124,hučící,A
6125,huňatý,A
6126,huňáč,N
6127,hvizd,N
6128,hvozd,N
6129,hvozdík,N
6130,hvízdnout,V
6131,hvězda,N
6132,hvězdice,N
6133,hvězdicový,A
6134,hvězdička,N
6135,hvězdokupa,N
6136,hvězdárna,N
6137,hvězdář,N
6138,hvězdářský,A
6139,hyacint,N
6140,hyaluronový,A
6141,hybnost,N
6142,hybný,A
6143,hybrid,N
6144,hybridní,A
6145,hydra,N
6146,hydrant,N
6147,hydratace,N
6148,hydratační,A
6149,hydratovat,V
6150,hydraulicky,D
6151,hydraulika,N
6152,hydrolog,N
6153,hydrologický,A
6154,hyena,N
6155,hyenismus,N
6156,hygiena,N
6157,hygienik,N
6158,hygienistka,N
6159,hygienička,N
6160,hymna,N
6161,hymnus,N
6162,hyperaktivita,N
6163,hyperaktivní,A
6164,hyperinflace,N
6165,hypermarket,N
6166,hypnóza,N
6167,hypoalergenní,A
6168,hypofýza,N
6169,hypotetický,A
6170,hypoteční,A
6171,hypotéka,N
6172,hypotéza,N
6173,hypotéční,A
6174,hysterický,A
6175,hysterie,N
6176,hábit,N
6177,hádanka,N
6178,hádat,V
6179,hádek,N
6180,hádka,N
6181,hádání,N
6182,hájemství,N
6183,hájenka,N
6184,hájení,N
6185,háječek,N
6186,hájovna,N
6187,hájící,A
6188,házenkář,N
6189,házenkářka,N
6190,házená,N
6191,házení,N
6192,házený,A
6193,házet,V
6194,háček,N
6195,háčkovaný,A
6196,háčkování,N
6197,háčkovat,V
6198,hádě,N
6199,hélium,N
6200,hýbat,V
6201,hýčkaný,A
6202,hýčkání,N
6203,hýčkat,V
6204,hýždě,N
6205,hýžďový,A
6206,hňup,N
6207,hřbet,N
6208,hřbetní,A
6209,hřbitov,N
6210,hřbitovní,A
6211,hřebec,N
6212,hřeben,N
6213,hřebenovka,N
6214,hřebenový,A
6215,hřebík,N
6216,hřebíček,N
6217,hřebčín,N
6218,hřejivý,A
6219,hřešit,V
6220,hřib,N
6221,hřivna,N
6222,hřiště,N
6223,hřmot,N
6224,hřmotný,A
6225,hřmít,V
6226,hřmění,N
6227,hřát,V
6228,hříbek,N
6229,hříbátko,N
6230,hříbě,N
6231,hřích,N
6232,hřídel,N
6233,hříva,N
6234,hříčka,N
6235,hříšník,N
6236,hůlka,N
6237,hůrka,N
6238,ibis,N
6239,ibišek,N
6240,idea,N
6241,idealismus,N
6242,idealista,N
6243,idealistický,A
6244,idealizovaný,A
6245,idealizovat,V
6246,identifikace,N
6247,identifikační,A
6248,identifikovaný,A
6249,identifikovat,V
6250,identifikátor,N
6251,identita,N
6252,ideologicky,D
6253,ideologický,A
6254,ideologie,N
6255,ideový,A
6256,ideově,D
6257,ideál,N
6258,ideální,A
6259,ideálně,D
6260,idiom,N
6261,idiopatický,A
6262,idol,N
6263,idylický,A
6264,idylka,N
6265,igelit,N
6266,igelitka,N
6267,iglú,N
6268,ignorace,N
6269,ignorance,N
6270,ignorovat,V
6271,ignorování,N
6272,ikona,N
6273,ikonka,N
6274,iktový,A
6275,ilegalita,N
6276,ilegální,A
6277,iluminace,N
6278,iluminovaný,A
6279,ilustrace,N
6280,ilustrativní,A
6281,ilustrační,A
6282,ilustrovaný,A
6283,ilustrovat,V
6284,ilustrátor,N
6285,iluze,N
6286,iluzionista,N
6287,iluzorní,A
6288,imaginární,A
6289,imigrace,N
6290,imigrant,N
6291,imigrační,A
6292,imise,N
6293,imisní,A
6294,imitace,N
6295,imitovat,V
6296,imitující,A
6297,imitátor,N
6298,imobilizér,N
6299,imobilní,A
6300,impeachment,N
6301,impedance,N
6302,imperativ,N
6303,imperialismus,N
6304,imperialista,N
6305,imperialistický,A
6306,imperátor,N
6307,implantace,N
6308,implantovaný,A
6309,implantovat,V
6310,implantát,N
6311,implementace,N
6312,implementační,A
6313,implementovat,V
6314,implicitní,A
6315,implicitně,D
6316,imponující,A
6317,import,N
6318,importní,A
6319,importovaný,A
6320,importovat,V
6321,importér,N
6322,impotence,N
6323,impotentní,A
6324,impozantní,A
6325,impozantně,D
6326,impregnace,N
6327,impregnovaný,A
6328,impregnovat,V
6329,imprese,N
6330,impresionismus,N
6331,impresionista,N
6332,impresionistický,A
6333,improvizace,N
6334,improvizační,A
6335,improvizovat,V
6336,improvizátor,N
6337,impuls,N
6338,impulz,N
6339,impulzivně,D
6340,impulzívní,A
6341,impérium,N
6342,imunita,N
6343,imunitní,A
6344,imunní,A
6345,imunolog,N
6346,imunologie,N
6347,imunoterapie,N
6348,inaugurace,N
6349,inaugurační,A
6350,incidence,N
6351,incident,N
6352,index,N
6353,indicie,N
6354,indigo,N
6355,indikace,N
6356,indikační,A
6357,indikovaný,A
6358,indikovat,V
6359,indikátor,N
6360,indisponovaný,A
6361,indispozice,N
6362,individualismus,N
6363,individualista,N
6364,individualistický,A
6365,individualita,N
6366,individualizace,N
6367,individuum,N
6368,indukce,N
6369,indukovaný,A
6370,indukovat,V
6371,indukční,A
6372,industrializace,N
6373,industriální,A
6374,inertní,A
6375,infarkt,N
6376,infekce,N
6377,infekční,A
6378,infikovaný,A
6379,infikovat,V
6380,infiltrace,N
6381,infiltrovat,V
6382,inifinitiv,N
6383,infinitum,N
6384,inflace,N
6385,info,N
6386,infocentrum,N
6387,infokanál,N
6388,informace,N
6389,informatik,N
6390,informatika,N
6391,informativní,A
6392,informovanost,N
6393,informovaný,A
6394,informování,N
6395,informovat,V
6396,informující,A
6397,informátor,N
6398,infrasauna,N
6399,infrastruktura,N
6400,infrastrukturní,A
6401,infuzní,A
6402,infúze,N
6403,ingot,N
6404,ingredience,N
6405,inhalace,N
6406,inhalační,A
6407,inhalovat,V
6408,inhalátor,N
6409,inhibitor,N
6410,inhibovat,V
6411,iniciace,N
6412,iniciativa,N
6413,iniciační,A
6414,iniciovaný,A
6415,iniciovat,V
6416,iniciála,N
6417,iniciátor,N
6418,iniciátorka,N
6419,injekce,N
6420,injektáž,N
6421,injekční,A
6422,inkasovaný,A
6423,inkasovat,V
6424,inklinace,N
6425,inklinovat,V
6426,inkluzivní,A
6427,inkluze,N
6428,inkognito,D
6429,inkoust,N
6430,inkriminace,N
6431,inkriminovat,V
6432,inkriminovaný,A
6433,inkubace,N
6434,inkubační,A
6435,inkubátor,N
6436,inkvizice,N
6437,inkvizitor,N
6438,inkviziční,A
6439,inovace,N
6440,inovativnost,N
6441,inovativní,A
6442,inovovat,V
6443,inovátor,N
6444,inscenace,N
6445,inscenační,A
6446,inscenovaný,A
6447,inscenovat,V
6448,inscenování,N
6449,inscenátor,N
6450,insekticid,N
6451,insekticidní,A
6452,inseminace,N
6453,inseminační,A
6454,insignie,N
6455,insolvence,N
6456,insolvenční,A
6457,inspekce,N
6458,inspektor,N
6459,inspektorka,N
6460,inspirace,N
6461,inspirační,A
6462,instalace,N
6463,instalatér,N
6464,instalatérský,A
6465,instalační,A
6466,instalovaný,A
6467,instalování,N
6468,instalovat,V
6469,instance,N
6470,instantní,A
6471,instinkt,N
6472,instinktivní,A
6473,instinktivně,D
6474,instituce,N
6475,institucionální,A
6476,institut,N
6477,instrukce,N
6478,instruktor,N
6479,instruktorka,N
6480,instruktáž,N
6481,instruktážní,A
6482,instrument,N
6483,instrumentace,N
6484,instrumentalista,N
6485,instruovat,V
6486,integrace,N
6487,integrační,A
6488,integrita,N
6489,integrovaný,A
6490,integrovat,V
6491,integrující,A
6492,integrál,N
6493,integrální,A
6494,intelekt,N
6495,intelektuál,N
6496,intelektuálka,N
6497,intelektuální,A
6498,intelektuálně,D
6499,inteligence,N
6500,inteligentní,A
6501,inteligentně,D
6502,inteligenční,A
6503,intence,N
6504,intendant,N
6505,intenzifikace,N
6506,intenzita,N
6507,intenzívní,A
6508,interakce,N
6509,interaktivita,N
6510,interaktivní,A
6511,interference,N
6512,interiér,N
6513,interiérový,A
6514,interna,N
6515,internace,N
6516,internační,A
6517,internet,N
6518,internista,N
6519,internovaný,A
6520,internovat,V
6521,internát,N
6522,interní,A
6523,interpelace,N
6524,interpersonální,A
6525,interpret,N
6526,interpretace,N
6527,interpretační,A
6528,interpretačně,D
6529,interpretka,N
6530,interrupce,N
6531,interval,N
6532,intervalový,A
6533,intervence,N
6534,intervenovat,V
6535,intimita,N
6536,intimnost,N
6537,intimně,D
6538,intimní,A
6539,intolerance,N
6540,intonace,N
6541,intonační,A
6542,intoxikace,N
6543,intranet,N
6544,intrika,N
6545,introvert,N
6546,introvertní,A
6547,intuice,N
6548,invalida,N
6549,invalidita,N
6550,invalidní,A
6551,invaze,N
6552,invektiva,N
6553,invence,N
6554,inventura,N
6555,inventární,A
6556,inventář,N
6557,invenční,A
6558,inverze,N
6559,investice,N
6560,investigativní,A
6561,investigovat,V
6562,investor,N
6563,investorský,A
6564,investovaný,A
6565,investovat,V
6566,investování,N
6567,investující,A
6568,inzerce,N
6569,inzerent,N
6570,inzertní,A
6571,inzerát,N
6572,inzulin,N
6573,inzultace,N
6574,inzultovat,V
6575,inženýr,N
6576,inženýrka,N
6577,inženýrský,A
6578,ionizující,A
6579,iont,N
6580,iontový,A
6581,iracionalita,N
6582,iracionální,A
6583,iridium,N
6584,ironicky,D
6585,ironie,N
6586,ironik,N
6587,ironizovat,V
6588,ischemie,N
6589,islám,N
6590,itinerář,N
6591,izolace,N
6592,izolant,N
6593,izolační,A
6594,izolepa,N
6595,izolovanost,N
6596,izolovaný,A
6597,izolovaně,D
6598,izolovat,V
6599,izolátor,N
6600,izotop,N
6601,jablečný,A
6602,jablko,N
6603,jabloň,N
6604,jabloňový,A
6605,jablíčko,N
6606,jachta,N
6607,jachtař,N
6608,jachtařský,A
6609,jachting,N
6610,jackpot,N
6611,jaderný,A
6612,jadérko,N
6613,jahoda,N
6614,jahodník,N
6615,jahodový,A
6616,jakkoli,D
6617,jakmile,J
6618,jakoby,D
6619,jakobín,N
6620,jakost,N
6621,jaký,P
6622,jakýkoli,P
6623,jakýsi,P
6624,jalovec,N
6625,jantar,N
6626,jarmareční,A
6627,jarmark,N
6628,jaro,N
6629,jarní,A
6630,jasan,N
6631,jasanový,A
6632,jasno,D
6633,jasnost,N
